actor_id,name,birthYear,deathYear,primaryProfession
nm0173485,Michael Colyar,\N,\N,"actor,writer,producer"
nm0173585,Muriel Combeau,\N,\N,actress
nm0173715,Pascal Comelade,1955,\N,"composer,soundtrack,actor"
nm0174021,Scout Taylor-Compton,1989,\N,"actress,miscellaneous"
nm0174082,Jean-Henri Compère,1960,\N,actor
nm0174436,Katia Condos,1968,\N,actress
nm0174495,Laura Conejero,1966,\N,"actress,soundtrack"
nm0174566,Mon Confiado,\N,\N,"actor,producer,soundtrack"
nm0174596,Henriette Confurius,1991,\N,actress
nm0174909,Shelley Conn,1976,\N,"actress,producer"
nm0175134,Chris Conner,\N,\N,"actor,producer"
nm0175239,Frank Conniff,1956,\N,"writer,actor,producer"
nm0175305,Kevin Connolly,1974,\N,"actor,director,producer"
nm0175526,Michael Connors,\N,\N,actor
nm0176518,Laura Contreras,\N,\N,actress
nm0176554,Susana Contreras,\N,\N,actress
nm0176869,Steve Coogan,1965,\N,"actor,producer,writer"
nm0177267,Ron Cook,1948,\N,actor
nm0177639,Jennifer Coolidge,1961,\N,"actress,writer,soundtrack"
nm0177742,Peter Coonan,1984,\N,actor
nm0177833,Adam Cooper,1971,\N,actor
nm0177933,Chris Cooper,1951,\N,"actor,director,producer"
nm0178581,Adam Copeland,1973,\N,actor
nm0179132,Bill Corbett,1960,\N,"actor,writer,soundtrack"
nm0179224,Barry Corbin,1940,\N,"actor,producer,miscellaneous"
nm0179479,James Corden,1978,\N,"producer,writer,actor"
nm0179677,Beatrice Cordua,1943,\N,"actress,miscellaneous"
nm0180336,Ron Cornet,1958,\N,"actor,director"
nm0180353,James E. Cornette,1961,\N,"actor,producer,writer"
nm0180388,Stephane Cornicard,1964,\N,"actor,director,producer"
nm0180404,Clovis Cornillac,1967,\N,"actor,director,writer"
nm0180425,Jennifer Cornish,\N,\N,actress
nm0180515,Walter Cornás,1978,\N,"actor,producer,art_director"
nm0180571,Úrsula Corona,1982,\N,"actress,producer"
nm0180773,Inés Correa,\N,\N,actress
nm0180917,Fabián Corres,\N,\N,"actor,director,producer"
nm0180984,Kevin Corrigan,1969,\N,"actor,soundtrack,producer"
nm0181246,Paola Cortellesi,1973,\N,"actress,writer,miscellaneous"
nm0181300,Rita Cortese,1949,\N,"actress,producer"
nm0181570,Milton Cortés,\N,\N,actor
nm0182099,Joe Costa,\N,\N,actor
nm0182456,Robert Costanzo,1942,\N,"actor,producer,director"
nm0182661,Nicolas Coster,1933,2023,"actor,producer,miscellaneous"
nm0182666,Nikolaj Coster-Waldau,1970,\N,"actor,producer,writer"
nm0183223,Analía Couceyro,\N,\N,"actress,writer"
nm0183660,Clotilde Courau,1969,\N,"actress,soundtrack"
nm0183822,Tom Courtenay,1937,\N,"actor,soundtrack"
nm0184076,Blake Cousins,\N,\N,"editor,actor,producer"
nm0184078,Brent Cousins,\N,\N,"director,writer,producer"
nm0184087,Dale Waddington,\N,\N,"actress,producer,script_department"
nm0184108,Mark Cousins,1965,\N,"director,writer,cinematographer"
nm0184276,Angèle Coutu,1946,\N,actress
nm0184383,Giobbe Covatta,1956,\N,"actor,writer,director"
nm0184392,Martin Kove,1947,\N,"actor,producer,director"
nm0184673,Nancy Bellany,\N,\N,"actress,writer,producer"
nm0184990,Deborah Cox,1974,\N,"actress,soundtrack,composer"
nm0185274,Veanne Cox,1963,\N,"actress,producer,soundtrack"
nm0185473,Edgardo Cozarinsky,1939,\N,"director,writer,actor"
nm0185794,Caroline Craig,1975,\N,"actress,miscellaneous,writer"
nm0185888,Janet Craig,\N,\N,"actress,producer,director"
nm0186225,Barbara Crampton,1958,\N,"actress,producer,executive"
nm0186452,Heather Craney,1971,\N,actress
nm0186505,Bryan Cranston,1956,\N,"actor,producer,writer"
nm0186609,James Craven,1951,\N,actor
